University Name,IPEDS ID,State,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1986,1984
Princeton University,186131,NJ,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,4,1,1,2,2,2,2,2,4,4,2,2,4,4,4
Harvard University,166027,MA,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,3,1,1,1,1,1,1,3,4,2,2,2
Columbia University,190150,NY,3,3,3,5,5,4,4,4,4,4,4,8,8,9,9,9,9,11,10,9,10,10,10,9,11,15,9,11,10,9,10,11,8,18,,
Massachusetts Institute of Technology,166683,MA,4,3,3,5,7,7,7,7,6,5,7,4,4,7,4,7,5,4,4,5,5,3,4,6,5,5,4,4,5,6,6,7,5,11,11,10
Yale University,130794,CT,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,1,3,1,2,3,3,3,2,3,1,1,3,2,3
University of Chicago,144050,IL,6,6,3,3,3,4,4,5,4,5,9,8,8,9,9,15,14,13,12,9,10,13,14,14,12,11,10,9,9,10,11,9,10,8,5,6
Stanford University,243744,CA,6,6,7,5,5,4,4,5,6,5,5,4,4,4,4,5,5,5,4,5,6,6,4,5,6,4,5,6,4,3,2,6,6,1,1,1
University of Pennsylvania,215062,PA,8,6,8,8,8,9,8,7,8,5,5,4,6,5,7,4,4,5,4,5,6,7,6,7,13,11,12,16,14,13,13,20,15,19,,
Johns Hopkins University,162928,MD,9,10,10,11,10,10,12,12,13,13,13,14,15,14,16,13,14,14,15,16,15,7,14,14,15,10,22,15,15,11,15,14,11,16,,
Northwestern University,147767,IL,9,9,10,11,12,12,13,12,12,12,12,12,12,14,14,12,11,11,10,12,13,14,10,9,9,13,14,13,13,14,23,19,16,17,,
California Institute of Technology,110404,CA,9,12,12,10,12,10,10,10,10,5,7,4,6,5,4,7,8,5,4,4,4,1,9,9,9,7,7,5,5,4,5,4,3,21,,12
Duke University,198419,NC,12,10,8,9,8,8,8,7,8,10,9,10,8,8,8,5,5,5,4,8,8,7,6,3,4,6,6,7,7,7,7,5,12,7,6,
Dartmouth College,182670,NH,13,12,12,11,11,12,11,10,10,11,9,11,11,11,9,9,9,9,9,9,9,11,10,7,7,7,8,8,7,8,8,8,7,6,10,10
Brown University,217156,RI,14,14,14,14,14,14,16,14,15,15,15,16,16,14,15,15,13,17,17,16,15,14,10,9,8,9,11,12,18,17,12,15,13,10,7,
Vanderbilt University,221999,TN,14,15,14,14,15,15,16,17,17,17,17,17,18,19,18,18,18,19,21,21,22,20,20,19,20,22,18,20,25,19,,24,,,,
Rice University,227757,TX,16,17,16,14,15,18,19,18,17,17,17,17,17,17,17,17,17,16,15,12,13,14,18,17,16,16,12,14,12,15,16,10,9,14,,
Washington University in St. Louis,179867,MO,16,19,19,18,19,15,14,14,14,14,13,12,12,12,12,11,11,9,12,14,15,17,16,17,17,20,20,18,20,18,24,22,19,23,,
Cornell University,190415,NY,18,17,16,14,15,15,15,16,15,15,15,15,14,12,12,13,14,14,14,14,10,11,6,14,14,13,15,10,11,12,9,11,14,11,,8
University of Notre Dame,152080,IN,19,15,18,18,15,18,16,18,17,19,19,20,18,19,20,18,18,19,18,19,19,19,18,19,17,18,19,25,,,,23,18,,,
University of California-Los Angeles,110662,CA,20,20,19,21,24,23,23,23,24,25,25,24,25,25,26,25,25,26,25,26,25,25,25,28,31,28,,22,23,23,17,16,21,,,
Emory University,139658,GA,21,21,21,21,20,21,21,20,20,20,20,17,18,17,18,20,20,18,18,18,18,18,16,9,19,17,16,25,21,,,,22,25,,
University of California-Berkeley,110635,CA,22,22,22,21,20,20,20,20,21,21,22,21,21,21,21,20,21,21,20,20,20,20,22,23,27,26,23,19,16,16,13,13,24,5,7,5
Georgetown University,131496,DC,23,24,22,20,20,21,21,20,21,22,21,23,23,23,23,23,25,23,24,22,23,23,20,21,23,21,25,17,17,19,19,25,17,,,
University of Southern California,123961,CA,24,22,22,21,23,23,25,23,24,23,23,26,27,27,27,30,30,30,31,34,35,42,41,41,43,44,,,,,,,,,,
University of Michigan-Ann Arbor,170976,MI,24,25,27,28,27,29,29,28,29,28,29,27,26,25,24,25,22,25,25,25,25,25,25,23,24,24,21,23,24,22,21,17,25,8,11,7
Carnegie Mellon University,211440,PA,26,25,25,25,24,23,25,23,23,23,23,22,22,22,21,22,22,23,21,22,23,23,25,23,28,23,24,24,19,24,22,,,,,13
University of Virginia,234076,VA,26,28,25,25,24,26,23,23,24,25,25,24,23,23,24,23,22,21,23,24,20,22,22,21,21,19,17,21,22,21,18,21,20,15,11,
Wake Forest University,199847,NC,28,27,27,27,27,27,27,23,27,25,25,28,28,30,30,27,27,28,25,26,28,28,29,28,25,31,,,,,,,,,,
University of North Carolina-Chapel Hill,199120,NC,28,29,30,30,30,30,30,30,30,29,30,28,30,28,27,27,29,29,28,28,25,27,24,27,25,27,,,,25,20,18,23,11,9,
Tufts University,168148,MA,30,29,27,29,27,27,27,28,28,29,28,28,28,28,27,27,28,27,28,28,29,29,25,23,22,25,,,,,,,,,,
New York University,193900,NY,30,29,30,30,36,32,32,32,32,33,33,32,33,34,34,37,32,35,35,32,33,34,35,34,35,36,,,,,,,,,,
University of California-Santa Barbara,110705,CA,30,34,30,37,37,37,40,41,41,42,39,42,44,44,47,45,45,45,47,48,45,44,47,47,46,,,,,,,,,,,
University of Florida,134130,FL,30,34,35,42,50,47,48,49,,,,47,49,49,47,50,50,48,,,,49,,,,47,,,,,,,,,,
University of Rochester,195030,NY,34,29,33,34,32,33,33,32,33,35,37,35,35,35,34,34,37,35,36,36,33,32,29,31,30,29,,,,,25,,,,,
University of California-Irvine,110653,CA,35,36,33,42,39,39,42,49,44,45,41,46,44,44,44,40,43,45,45,41,41,49,36,41,37,48,,,,,,,,,,
Georgia Institute of Technology,139755,GA,35,29,35,34,34,36,36,36,36,36,35,35,35,35,38,37,41,37,38,41,35,40,46,41,48,42,,,,,,,,,,
Boston College,164924,MA,35,37,38,32,31,30,31,31,31,31,31,34,34,35,34,40,37,40,40,38,38,39,36,38,38,37,,,,,,,,,,
University of California-San Diego,110680,CA,35,37,41,42,44,39,37,39,38,37,35,35,35,38,38,32,35,32,31,31,31,32,32,33,34,43,,,,,,,,,,
College of William and Mary,231624,VA,39,40,38,32,32,34,33,32,33,33,31,33,32,33,31,31,31,31,30,30,30,29,33,32,33,34,,,,,,,,22,,
University of California-Davis,110644,CA,39,39,38,46,44,41,38,39,38,38,39,42,44,42,47,48,42,43,43,41,41,42,44,41,40,40,,,,,,,,,,
Tulane University,160755,LA,41,40,44,40,39,,,,,50,,50,,50,44,43,43,44,43,46,45,44,36,34,36,38,,,,,,,,,,
Brandeis University,165015,MA,42,40,35,34,34,34,35,32,33,31,34,31,31,31,31,34,32,32,31,34,31,31,31,28,29,30,,,,,,,,,,
Boston University,164988,MA,42,40,42,37,39,41,42,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case Western Reserve University,201645,OH,42,40,42,37,37,37,38,37,37,38,41,41,41,41,38,37,35,37,37,38,38,34,34,37,38,35,,,,,,,,,,
University of Texas-Austin,228778,TX,42,48,49,,,,,,46,45,45,47,47,44,47,,46,,47,48,49,44,,,,,,,,,,,,25,,
University of Wisconsin-Madison,240444,WI,42,46,49,46,44,41,47,41,41,42,45,39,35,38,34,34,32,32,31,32,35,34,36,38,41,32,,,,,,,,23,,13
University of Georgia,139959,GA,47,50,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Illinois-Urbana-Champaign,145637,IL,47,48,46,,44,41,42,41,46,45,47,39,40,38,41,42,37,40,38,36,41,34,42,45,50,45,,,,,,,,20,,8
Northeastern University,167358,MA,49,40,44,40,39,47,42,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepperdine University,121150,CA,49,50,46,46,50,,,,,,,,,,,,,,47,48,49,,,,,,,,,,,,,,,
Lehigh University,213543,PA,49,50,,46,44,47,40,41,38,38,37,35,35,31,33,32,37,37,40,38,38,34,36,34,32,33,,,,,,,,,,
University of Miami,135726,FL,49,,,46,44,,48,47,44,38,47,50,,,,,,,,,,,,,,,,,,,,,,,,
Rensselaer Polytechnic Institute,194824,NY,,50,49,42,39,41,42,41,41,50,41,42,41,44,42,43,46,48,47,48,49,,49,48,,39,,,,,,,,,,
Villanova University,216597,PA,,46,49,46,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Washington University,131469,DC,,,,,,,,,,50,,,,,,,,,,,,,50,,46,,,,,,,,,,,
Pennsylvania State University-University Park,214777,PA,,,,,50,47,48,37,46,45,47,47,47,48,47,48,50,48,45,46,44,40,44,45,,41,,,,,,,,,,
Rutgers University-New Brunswick,186380,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,
Syracuse University,196413,NY,,,,,,,,,,,,,,50,,50,,,,,,,47,40,44,49,,,,,,,,,,
Texas A&M University-College Station,228723,TX,,,,,,,,,,,,,,,,,,,,48,,,,,48,,,,,,,,,,,
University of Washington,236948,WA,,,,,,,48,,46,42,41,42,41,42,42,45,46,45,47,45,45,44,,,42,50,,,,,,,,,,
Worcester Polytechnic Institute,168421,MA,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,