Country Name,Country Code,Inflation2019
Aruba,ABW,
Afghanistan,AFG,2.239099329
Angola,AGO,35.90052398
Albania,ALB,0.381513797
Andorra,AND,1.507863463
Arab World,ARB,0.728386346
United Arab Emirates,ARE,-1.89992766
Argentina,ARG,51.50833752
Armenia,ARM,1.462713928
American Samoa,ASM,
Antigua and Barbuda,ATG,2.508911807
Australia,AUS,3.303873963
Austria,AUT,1.721987644
Azerbaijan,AZE,-0.22964079
Burundi,BDI,0.822247025
Belgium,BEL,1.523563353
Benin,BEN,-0.317730866
Burkina Faso,BFA,-2.987782503
Bangladesh,BGD,4.458951253
Bulgaria,BGR,4.652383579
Bahrain,BHR,0.616772691
"Bahamas, The",BHS,1.414854514
Bosnia and Herzegovina,BIH,2.092246138
Belarus,BLR,6.572033811
Belize,BLZ,0.182596942
Bermuda,BMU,
Bolivia,BOL,-0.693004585
Brazil,BRA,4.154274316
Barbados,BRB,2.506881348
Brunei Darussalam,BRN,-3.33576804
Bhutan,BTN,
Botswana,BWA,0.641240208
Central African Republic,CAF,2.410902664
Canada,CAN,1.910662295
Central Europe and the Baltics,CEB,2.953388141
Switzerland,CHE,0.395972011
Channel Islands,CHI,
Chile,CHL,2.668611345
China,CHN,1.581770365
Cote d'Ivoire,CIV,0.545638097
Cameroon,CMR,1.584744249
"Congo, Dem. Rep.",COD,-1.695922268
"Congo, Rep.",COG,-1.243056612
Colombia,COL,4.285597436
Comoros,COM,3.330475907
Cabo Verde,CPV,0.562980597
Costa Rica,CRI,1.720154794
Caribbean small states,CSS,1.903110416
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,0.563740008
Czech Republic,CZE,3.523676918
Germany,DEU,2.139958637
Djibouti,DJI,2.496339575
Dominica,DMA,2.394795481
Denmark,DNK,0.974203782
Dominican Republic,DOM,2.491462278
Algeria,DZA,-0.650661944
East Asia & Pacific (excluding high income),EAP,2.298156756
Early-demographic dividend,EAR,2.310899451
East Asia & Pacific,EAS,2.256455151
Europe & Central Asia (excluding high income),ECA,3.784178916
Europe & Central Asia,ECS,2.366723927
Ecuador,ECU,-0.171087541
"Egypt, Arab Rep.",EGY,13.62683741
Euro area,EMU,1.767759078
Eritrea,ERI,
Spain,ESP,1.577946059
Estonia,EST,3.21318777
Ethiopia,ETH,13.17631173
European Union,EUU,2.324130851
Fragile and conflict affected situations,FCS,2.405388086
Finland,FIN,1.767759078
Fiji,FJI,2.385913765
France,FRA,1.227217564
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,
Gabon,GAB,0.785737791
United Kingdom,GBR,1.856898294
Georgia,GEO,6.636140678
Ghana,GHA,9.188793967
Gibraltar,GIB,
Guinea,GIN,7.469368554
"Gambia, The",GMB,6.422405086
Guinea-Bissau,GNB,-7.409270064
Equatorial Guinea,GNQ,-7.229839391
Greece,GRC,-0.378844232
Grenada,GRD,1.903110416
Greenland,GRL,
Guatemala,GTM,3.412287409
Guam,GUM,
Guyana,GUY,5.806362362
High income,HIC,1.743652449
"Hong Kong SAR, China",HKG,2.381954708
Honduras,HND,4.338461943
Heavily indebted poor countries (HIPC),HPC,2.85603412
Croatia,HRV,1.494865584
Haiti,HTI,14.2419703
Hungary,HUN,4.518407195
IBRD only,IBD,2.251101379
IDA & IBRD total,IBT,2.423055023
IDA total,IDA,2.735323488
IDA blend,IDB,2.385913765
Indonesia,IDN,1.604535926
IDA only,IDX,2.908953528
Isle of Man,IMN,
India,IND,2.310899451
Not classified,INX,
Ireland,IRL,1.518552321
"Iran, Islamic Rep.",IRN,
Iraq,IRQ,-0.000874892
Iceland,ISL,4.391268252
Israel,ISR,2.24799046
Italy,ITA,0.913085573
Jamaica,JAM,7.591489574
Jordan,JOR,1.550147404
Japan,JPN,0.591509481
Kazakhstan,KAZ,6.741345256
Kenya,KEN,3.961055338
Kyrgyz Republic,KGZ,-0.841309433
Cambodia,KHM,3.235371769
Kiribati,KIR,3.999667803
St. Kitts and Nevis,KNA,1.434160591
"Korea, Rep.",KOR,-0.933286881
Kuwait,KWT,-4.071612704
Latin America & Caribbean (excluding high income),LAC,2.866700328
Lao PDR,LAO,2.423055023
Lebanon,LBN,2.9
Liberia,LBR,-3.734592332
Libya,LBY,-1.103625624
St. Lucia,LCA,0.992577344
Latin America & Caribbean,LCN,2.507896577
Least developed countries: UN classification,LDC,3.064414704
Low income,LIC,2.410902664
Liechtenstein,LIE,
Sri Lanka,LKA,2.191303306
Lower middle income,LMC,3.235371769
Low & middle income,LMY,2.410902664
Lesotho,LSO,2.735323488
Late-demographic dividend,LTE,2.279013616
Lithuania,LTU,2.953388141
Luxembourg,LUX,3.392093108
Latvia,LVA,2.631955999
"Macao SAR, China",MAC,2.584638764
St. Martin (French part),MAF,
Morocco,MAR,0.84
Monaco,MCO,
Moldova,MDA,5.491334138
Madagascar,MDG,5.277390177
Maldives,MDV,2.152152101
Middle East & North Africa,MEA,0.616772691
Mexico,MEX,3.33298841
Marshall Islands,MHL,
Middle income,MIC,2.408925252
North Macedonia,MKD,2.366723927
Mali,MLI,2.399873507
Malta,MLT,2.324130851
Myanmar,MMR,7.645719878
Middle East & North Africa (excluding high income),MNA,1.550147404
Montenegro,MNE,1.571325005
Mongolia,MNG,8.318809803
Northern Mariana Islands,MNP,
Mozambique,MOZ,2.961872936
Mauritania,MRT,4.582775854
Mauritius,MUS,0.941289548
Malawi,MWI,8.165981156
Malaysia,MYS,0.079258642
North America,NAC,1.827157372
Namibia,NAM,1.502072884
New Caledonia,NCL,
Niger,NER,0.504264024
Nigeria,NGA,10.38477919
Nicaragua,NIC,4.667738162
Netherlands,NLD,3.04522666
Norway,NOR,-0.62356977
Nepal,NPL,6.169445467
Nauru,NRU,3.3125
New Zealand,NZL,2.302510556
OECD members,OED,2.24799046
Oman,OMN,-3.374725838
Other small states,OSS,1.674015247
Pakistan,PAK,8.62080281
Panama,PAN,-0.42543355
Peru,PER,1.555530573
Philippines,PHL,0.763638648
Palau,PLW,
Papua New Guinea,PNG,3.8689236
Poland,POL,2.949587704
Pre-demographic dividend,PRE,2.405388086
Puerto Rico,PRI,2.749481782
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,1.721191737
Paraguay,PRY,2.866700328
West Bank and Gaza,PSE,
Pacific island small states,PSS,2.385913765
Post-demographic dividend,PST,2.092246138
French Polynesia,PYF,
Qatar,QAT,-3.950060423
Romania,ROU,6.915802527
Russian Federation,RUS,3.784178916
Rwanda,RWA,0.369892344
South Asia,SAS,2.310899451
Saudi Arabia,SAU,0.48638359
Sudan,SDN,17.82652776
Senegal,SEN,1.677973053
Singapore,SGP,0.094866033
Solomon Islands,SLB,2.194593044
Sierra Leone,SLE,3.877019075
El Salvador,SLV,1.058462471
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,2.46134336
Sub-Saharan Africa (excluding high income),SSA,2.399873507
South Sudan,SSD,
Sub-Saharan Africa,SSF,2.399873507
Small states,SST,2.173372572
Sao Tome and Principe,STP,4.631128087
Suriname,SUR,16.07055602
Slovak Republic,SVK,2.633176653
Slovenia,SVN,2.419303797
Sweden,SWE,2.759023703
Eswatini,SWZ,1.776705489
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,3.195156617
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,2.85603412
East Asia & Pacific (IDA & IBRD countries),TEA,2.385913765
Europe & Central Asia (IDA & IBRD countries),TEC,3.36688331
Togo,TGO,2.101430257
Thailand,THA,0.74779637
Tajikistan,TJK,5.000434472
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,2.508911807
Timor-Leste,TLS,3.166956473
Middle East & North Africa (IDA & IBRD countries),TMN,1.550147404
Tonga,TON,
South Asia (IDA & IBRD),TSA,2.310899451
Sub-Saharan Africa (IDA & IBRD countries),TSS,2.399873507
Trinidad and Tobago,TTO,0.98241853
Tunisia,TUN,7.034490791
Turkey,TUR,13.92879576
Tuvalu,TUV,8.693957115
Tanzania,TZA,4.630443224
Uganda,UGA,0.618257527
Ukraine,UKR,8.129994331
Upper middle income,UMC,2.152152101
Uruguay,URY,7.667916457
United States,USA,1.743652449
Uzbekistan,UZB,19.2336211
St. Vincent and the Grenadines,VCT,1.388941207
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,1.788598602
Vanuatu,VUT,1.999290969
World,WLD,2.275250508
Samoa,WSM,2.210399747
Kosovo,XKX,1.040576934
"Yemen, Rep.",YEM,
South Africa,ZAF,4.021220705
Zambia,ZMB,3.498589389
Zimbabwe,ZWE,-4.035234871